SYMBOL,YF_SUFFIX,ASSET_TYPE,COUNTRY,NOTES
4GLD.DE,,,,
AAPL.US,,,,
ARCC.US,,,,
COST.US,,,,
ENEL.IT,,,,
EUNA.DE,,,,
IDVY.NL,,,,
JNJ.US,,,,
KO.US,,,,
LDOS.US,,,,
MAIN.US,,,,
NVDA.US,,,,
O.US,,,,
OXY.US,,,,
PFE.US,,,,
PLTR.US,,,,
SXRV.DE,,,,
TTD.US,,,,
TTE.FR,,,,
VHYD.UK,,,,
WDP.BE,,,,
