CASH_FLOW_DIRECTION,TRANSACTION_DATE,TRANSACTION_TYPE_RAW,PRODUTO,INSTITUTION,QUANTITY,UNIT_PRICE,AMOUNT
Debito,30/03/2021,Incorporação,TIET11 - AES TIETE ENERGIA S/A,CLEAR CORRETORA - GRUPO XP,68,,
Debito,04/11/2024,Incorporação,AESB3 - AES BRASIL ENERGIA S.A.,XP INVESTIMENTOS CORRETORA DE CAMBIO TITULOS E VALORES MOBILIARIOS S/A,153,,
Debito,04/11/2024,Incorporação,A7RN3 - ARN HOLDING,XP INVESTIMENTOS CORRETORA DE CAMBIO TITULOS E VALORES MOBILIARIOS S/A,1377,,
Debito,29/12/2020,Atualização,VVAR3 - VIA VAREJO S.A.,CLEAR CORRETORA - GRUPO XP,100,,
Debito,17/08/2021,Atualização,VIIA3 - VIA VAREJO S.A,CLEAR CORRETORA - GRUPO XP,100,,
Debito,10/05/2022,Atualização,VIIA3 - GRUPO CASAS BAHIA S.A.,CLEAR CORRETORA - GRUPO XP,156,,
