PORTFOLIO_BUCKET, MAX_POSITION_PCT, MAX_POSITION_PCT_PER_ASSET
CORE, 60% , 25%
SATELLITE_INCOME, %25,5%
SATELLITE_MAX_UPSIDE, %25, 3%
